









Frequency of observations in the selected location(s).:
Number of taxa: 	955

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
large rail sp.	3.39E-5	1.134E-4	4.06E-5	3.0E-5	1.45E-5	2.58E-5	4.99E-5	5.46E-5	1.46E-5	2.95E-5	3.11E-5	3.35E-5	7.81E-5	3.07E-5	4.36E-5	4.72E-5	8.91E-5	5.81E-5	0.0	4.0E-5	7.86E-5	3.01E-5	0.0015	0.0	3.5E-5	1.09E-4	0.0	0.0	3.4E-5	6.85E-5	3.29E-5	4.47E-5	1.115E-4	0.0	0.0015	4.13E-5	0.0015	4.07E-5	2.13E-5	6.49E-5	4.5E-5	8.84E-5	8.68E-5	3.15E-5	1.025E-4	5.96E-5	1.68E-5	7.26E-5	
Virginia Rail	0.0047671	0.0040978	0.0044618	0.003935	0.0033346	0.0024491	0.0017366	0.003084	0.0028458	0.002666	0.0028138	0.0032564	0.0029055	0.0019502	0.0010021	9.33E-4	4.989E-4	7.74E-5	1.829E-4	4.0E-5	0.0	0.0	0.0	0.0	7.0E-5	0.0	0.0	0.0	0.0	0.0	3.29E-5	2.23E-5	5.58E-5	5.78E-5	3.843E-4	8.046E-4	0.0013737	0.0019953	0.0028565	0.0036365	0.0044771	0.0048426	0.0047295	0.0057132	0.0058422	0.0056802	0.0068155	0.0045867	
King/Virginia Rail	1.243E-4	1.134E-4	1.35E-5	3.0E-5	5.8E-5	3.87E-5	0.0	1.36E-5	0.0	1.47E-5	1.55E-5	0.0	0.0015	4.61E-5	1.45E-5	3.54E-5	0.0	1.94E-5	5.23E-5	0.0	2.62E-5	0.0	9.3E-5	2.57E-5	0.0	3.63E-5	0.0	0.0	0.0	3.43E-5	0.0	2.23E-5	2.79E-5	2.89E-5	2.75E-5	0.0	2.41E-5	0.0	6.4E-5	4.87E-5	6.75E-5	4.42E-5	4.34E-5	6.3E-5	8.2E-5	5.96E-5	1.343E-4	5.19E-5	
Rallus sp.	0.0	0.0	1.35E-5	0.0	1.45E-5	0.0	0.0	0.0	1.46E-5	1.47E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62E-5	0.0	0.0	0.0	0.0	2.05E-5	0.0	1.68E-5	0.0	
Giant Wood-Rail	0.0	2.84E-5	2.298E-4	1.0E-5	2.9E-5	2.58E-5	1.0E-5	1.36E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sora	0.0261062	0.0254232	0.0271761	0.0247915	0.0235596	0.0181361	0.0142723	0.0181084	0.0191328	0.0195602	0.0217956	0.0234418	0.0231505	0.0219738	0.0173693	0.0126244	0.0070917	0.0022456	7.839E-4	4.002E-4	5.24E-5	3.01E-5	6.2E-5	5.13E-5	0.0	7.26E-5	1.836E-4	5.12E-5	0.0	3.43E-5	3.29E-5	3.128E-4	7.248E-4	0.0014165	0.0021962	0.0042911	0.0050851	0.0075943	0.0108503	0.0170622	0.0209458	0.0224659	0.0241897	0.0279207	0.0301744	0.0272493	0.0262045	0.0242617	
Common Gallinule	0.2034951	0.2111987	0.2185311	0.2178767	0.2125874	0.1949858	0.1730643	0.2043777	0.2064477	0.2019059	0.2032802	0.192218	0.1846257	0.1700014	0.1584879	0.1605277	0.1606678	0.162924	0.1610661	0.1674605	0.178042	0.1684382	0.1622326	0.15625	0.1622766	0.1579368	0.1533774	0.159391	0.1572667	0.1580858	0.1601579	0.1486115	0.1479189	0.140433	0.1389941	0.1440626	0.1410806	0.1412982	0.1466394	0.1702166	0.1919771	0.19755	0.1969237	0.2113099	0.2165098	0.2103078	0.2044989	0.203495	
Eurasian Moorhen/Common Gallinule	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	1.47E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57E-5	0.0	0.0	0.0	0.0	
American Coot	0.1309264	0.1398491	0.1443444	0.1444635	0.1342825	0.1234339	0.1031499	0.1210273	0.1212183	0.116065	0.1140614	0.1001907	0.0826825	0.0605163	0.0432491	0.0318623	0.0241438	0.0233661	0.0202508	0.0221533	0.0245142	0.0205053	0.0193488	0.0166	0.0168258	0.0161642	0.0148311	0.0149437	0.0147204	0.0136677	0.0136865	0.0117513	0.0128516	0.0124592	0.011393	0.0123576	0.0128452	0.0178353	0.031208	0.0608461	0.0946049	0.1105608	0.124181	0.1327573	0.1352725	0.1254419	0.1171563	0.1230932	
coot sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Purple Gallinule	0.0384759	0.0417009	0.0474568	0.0471399	0.0468582	0.0430266	0.0364193	0.0458236	0.0459713	0.0448647	0.0448037	0.0420101	0.0389434	0.0359934	0.0360457	0.0355587	0.0342112	0.0376529	0.0392475	0.0440464	0.0464879	0.0429978	0.0434109	0.0404865	0.042292	0.0413367	0.0377753	0.0387666	0.0345402	0.0338437	0.0339859	0.0297134	0.0286861	0.0262481	0.0237193	0.0231474	0.0211115	0.0220091	0.0208906	0.025569	0.0281677	0.0310676	0.0330412	0.0355069	0.0401369	0.0371599	0.0326171	0.0386651	
Gray-headed Swamphen	0.0202885	0.0216799	0.0240799	0.0223684	0.0240235	0.0197989	0.0170968	0.0210286	0.0221976	0.0213129	0.0200544	0.0177207	0.0163709	0.0137893	0.0128672	0.0137227	0.0108514	0.0125639	0.012046	0.0138883	0.0137237	0.0120442	0.0133953	0.0119817	0.0126631	0.0123138	0.0123715	0.0113101	0.0098929	0.0102079	0.0104293	0.0107236	0.0099802	0.0083543	0.0092242	0.0086648	0.0083868	0.0086937	0.0109356	0.0145459	0.0191685	0.0178887	0.0217382	0.0241906	0.0261567	0.0234757	0.0184657	0.0224976	
swamphen sp.	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04E-5	
moorhen/coot/gallinule sp.	1.13E-5	1.42E-5	1.35E-5	5.01E-5	4.35E-5	1.29E-5	4.99E-5	4.09E-5	2.92E-5	1.47E-5	0.0	1.12E-5	1.56E-5	0.0	2.9E-5	0.0	0.0015	5.81E-5	0.0	0.0	0.0	3.01E-5	9.3E-5	5.13E-5	0.0	0.0	3.67E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.89E-5	2.75E-5	0.0015	0.0	6.11E-5	0.0	0.0	0.0	0.0	2.17E-5	4.72E-5	0.0	0.0	1.68E-5	0.0	
Yellow Rail	0.0	1.42E-5	1.35E-5	1.0E-5	0.0	1.29E-5	0.0	1.36E-5	1.46E-5	2.95E-5	0.0	0.0	0.0	0.0	1.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.25E-5	2.25E-5	2.21E-5	0.0	0.0	2.05E-5	3.97E-5	0.0	0.0	
Black Rail	9.04E-5	1.56E-4	1.217E-4	2.703E-4	1.16E-4	1.031E-4	1.098E-4	2.456E-4	1.168E-4	2.062E-4	2.643E-4	5.465E-4	6.873E-4	3.378E-4	2.033E-4	3.425E-4	4.098E-4	3.485E-4	4.181E-4	3.002E-4	3.405E-4	3.011E-4	4.031E-4	2.566E-4	2.449E-4	2.543E-4	4.038E-4	7.68E-5	4.08E-4	2.74E-4	3.29E-4	6.7E-5	5.58E-5	5.78E-5	2.75E-5	0.0	2.41E-5	0.0	0.0	6.49E-5	6.75E-5	4.42E-5	0.0015	1.259E-4	2.05E-4	5.96E-5	1.343E-4	7.26E-5	
rail/crake sp.	2.26E-5	1.42E-5	0.0	2.0E-5	2.9E-5	1.29E-5	0.0	0.0	1.46E-5	1.47E-5	3.11E-5	1.12E-5	0.0	1.54E-5	1.45E-5	0.0	0.0	0.0	2.61E-5	0.0	0.0	0.0	6.2E-5	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	3.29E-5	0.0	0.0	0.0	0.0	2.06E-5	0.0	0.0	2.13E-5	1.62E-5	0.0	0.0	0.0	1.57E-5	0.0	0.0	0.0	2.08E-5	
Limpkin	0.0829389	0.0851601	0.0907628	0.0920669	0.0982544	0.0975896	0.0913328	0.106849	0.1051648	0.1066973	0.1036611	0.099187	0.0924613	0.0837339	0.0788591	0.075475	0.0744093	0.0795648	0.0805331	0.0839504	0.0906972	0.0851826	0.0832868	0.0750975	0.0727254	0.0716673	0.0682085	0.0681167	0.0677206	0.0679272	0.0689587	0.0633364	0.0619442	0.0570636	0.059463	0.0620564	0.0618885	0.0627494	0.0605615	0.0690444	0.0720842	0.0792721	0.0772118	0.083652	0.0836767	0.0835154	0.0797381	0.0813254	
Gray Crowned-Crane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	6.7E-5	5.58E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sandhill Crane	0.1227929	0.1158438	0.1195344	0.1200124	0.1191753	0.1152874	0.1065134	0.1093189	0.1046686	0.1062407	0.1060552	0.1026219	0.0972257	0.0880948	0.0814151	0.0785455	0.0819643	0.0881021	0.0872485	0.0896138	0.0933948	0.08991	0.0882791	0.0837695	0.0881869	0.0841991	0.0841777	0.0850819	0.0867245	0.0919398	0.0878105	0.0849177	0.0849433	0.0784263	0.082496	0.0799018	0.0848074	0.0856951	0.0922598	0.1018215	0.1069789	0.1063152	0.1145485	0.1241167	0.126089	0.1301291	0.1348162	0.1244111	
Whooping Crane	0.0018752	0.0018575	0.0024202	0.0021928	0.0016383	0.0011214	0.0011877	0.0010507	0.0012259	0.00109	9.483E-4	8.03E-4	5.78E-4	5.835E-4	3.921E-4	3.897E-4	3.029E-4	6.582E-4	7.316E-4	6.604E-4	0.0015452	6.624E-4	6.512E-4	4.362E-4	1.399E-4	2.543E-4	2.57E-4	2.559E-4	2.04E-4	5.823E-4	4.606E-4	3.128E-4	7.527E-4	2.024E-4	6.04E-4	2.682E-4	3.615E-4	3.665E-4	3.624E-4	8.442E-4	7.874E-4	8.624E-4	9.546E-4	8.814E-4	0.0011479	0.0014697	0.001259	0.0018886	
crane sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57E-5	0.0	0.0	0.0	0.0	
Black-necked Stilt	0.0063034	0.0069194	0.0074092	0.0076297	0.0076841	0.0074633	0.0058986	0.0100435	0.014813	0.028648	0.0430004	0.0565301	0.0601881	0.0546044	0.0528632	0.0588235	0.0570899	0.0611546	0.0597073	0.0601161	0.068933	0.0569691	0.048031	0.0447968	0.0435163	0.0436978	0.0432085	0.0452661	0.0465069	0.0420991	0.031288	0.0220281	0.0164757	0.0094528	0.0069456	0.0040229	0.0028438	0.0029726	0.0038797	0.0048541	0.006502	0.0060808	0.0071159	0.008074	0.0083431	0.0083019	0.0068994	0.0071602	
American Avocet	0.0097602	0.0105493	0.0111273	0.0136173	0.0111491	0.0095128	0.006697	0.008406	0.0068446	0.0079095	0.006576	0.0053196	0.0052174	0.005098	0.0046037	0.0033894	0.0034033	0.0026522	0.0022472	0.0020012	0.0029595	0.0026196	0.0015194	0.0010006	0.0016791	0.0018525	0.0022026	0.0043756	0.0055414	0.0072963	0.0067445	0.005049	0.0058264	0.0044807	0.003761	0.0047037	0.0042175	0.0052936	0.0052227	0.0063638	0.0079869	0.0097736	0.0096108	0.0089397	0.0077691	0.0076266	0.0068323	0.0076375	
American Oystercatcher	0.0146967	0.0145053	0.0143993	0.0120753	0.0141648	0.0125935	0.0095016	0.0130047	0.0126385	0.0114592	0.0115196	0.0117766	0.0120439	0.0131597	0.0147988	0.0141361	0.0118135	0.0119638	0.0132741	0.0130078	0.0122571	0.0152058	0.0130543	0.0135725	0.0138525	0.014348	0.0144273	0.0142528	0.0158423	0.0152776	0.0142129	0.0137173	0.0158345	0.0126037	0.0133421	0.0108104	0.0134959	0.011707	0.0121933	0.0123056	0.012599	0.0148815	0.0149477	0.014165	0.0141238	0.0134062	0.0125063	0.0135317	
Black-bellied Plover	0.0519187	0.0535831	0.0505935	0.0486017	0.0476121	0.0394947	0.029902	0.039369	0.0377257	0.0392529	0.041197	0.0443297	0.0484723	0.0584893	0.0638425	0.0634883	0.0608318	0.0560632	0.0446564	0.0264759	0.0245927	0.0250821	0.0230078	0.0219109	0.0234372	0.0290229	0.0294053	0.031218	0.0402856	0.0475799	0.0595493	0.0654588	0.0659028	0.0562252	0.0526822	0.0428701	0.0428737	0.0386839	0.0430176	0.0507159	0.0537707	0.0624889	0.0625678	0.0595716	0.0559211	0.0543396	0.0477757	0.0539298	
American Golden-Plover	0.0010619	2.41E-4	3.921E-4	7.01E-5	1.45E-5	0.0015	8.98E-5	2.047E-4	4.38E-5	1.473E-4	2.332E-4	5.241E-4	7.029E-4	0.0010595	6.971E-4	5.905E-4	4.633E-4	2.323E-4	2.61E-5	0.0	0.0015	0.0	3.1E-5	5.13E-5	0.0	0.0	0.0	3.071E-4	6.8E-5	0.0013359	4.606E-4	4.468E-4	0.0013939	0.0026306	0.0027453	9.284E-4	5.543E-4	1.018E-4	8.53E-5	3.896E-4	4.95E-4	9.729E-4	8.027E-4	6.925E-4	9.225E-4	8.739E-4	5.204E-4	4.67E-4	
Pacific Golden-Plover	0.0	0.0	5.273E-4	1.302E-4	0.0	0.0	1.0E-5	0.0	1.46E-5	1.47E-5	4.66E-5	3.35E-5	0.0	8.446E-4	4.647E-4	1.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42E-4	9.249E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American/Pacific Golden-Plover (Lesser Golden-Plover)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04E-5	
golden-plover sp.	0.0	0.0	1.35E-5	2.0E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	1.56E-5	0.0	0.0	1.18E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05E-5	0.0	1.68E-5	0.0	
Black-bellied Plover/golden-plover sp.	0.0	0.0	0.0	1.0E-5	2.9E-5	0.0	1.0E-5	0.0	1.46E-5	0.0	1.55E-5	3.35E-5	4.69E-5	3.07E-5	2.9E-5	4.72E-5	0.0	1.94E-5	2.61E-5	0.0	0.0	0.0	0.0	2.57E-5	3.5E-5	0.0	0.0	2.56E-5	0.0	3.43E-5	3.29E-5	2.23E-5	1.394E-4	5.78E-5	2.75E-5	4.13E-5	0.0	4.07E-5	2.13E-5	0.0	9.0E-5	2.21E-5	0.0	0.0	2.05E-5	0.0	0.0	1.04E-5	
Killdeer	0.1332196	0.1216005	0.1259431	0.126741	0.1150433	0.0959655	0.0802643	0.0914971	0.0887465	0.0814517	0.0819588	0.0822915	0.0811672	0.0735531	0.0774504	0.0796556	0.0883789	0.0959617	0.0956363	0.0931959	0.0985019	0.084731	0.0790698	0.073045	0.0684227	0.0643661	0.0668869	0.0735159	0.0846507	0.084301	0.0893239	0.0949264	0.1003596	0.0895557	0.0811783	0.0719797	0.0598159	0.0561324	0.0640788	0.0844021	0.099892	0.1188528	0.1271315	0.1382344	0.136851	0.133863	0.1325332	0.1212565	
Semipalmated Plover	0.0288851	0.0305561	0.027122	0.0257827	0.0266187	0.0216937	0.0170968	0.0210696	0.019556	0.0216959	0.0233968	0.0249138	0.0275244	0.0355174	0.0432491	0.049553	0.0545775	0.0522689	0.0449177	0.028357	0.0210832	0.0202945	0.0171783	0.0159329	0.0158464	0.0180167	0.024486	0.0359519	0.054224	0.0630973	0.0640566	0.0653917	0.0688857	0.0552135	0.0475485	0.0377125	0.0348966	0.0305603	0.0330413	0.0356505	0.0337248	0.0365956	0.0375537	0.0345311	0.0316094	0.0290367	0.0267416	0.0282569	
Common Ringed/Semipalmated Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Piping Plover	0.0082351	0.0088903	0.0091939	0.0091817	0.0089454	0.0071539	0.0049504	0.0075599	0.0073992	0.0079242	0.0071823	0.0067916	0.0062484	0.0062344	0.0072614	0.0050309	0.0031538	0.0016649	0.0012542	7.404E-4	4.452E-4	3.914E-4	5.891E-4	6.158E-4	3.848E-4	0.0014893	0.0041483	0.0086233	0.0113887	0.0143185	0.0155947	0.0157056	0.0159182	0.012199	0.0113381	0.0084585	0.009158	0.0084901	0.0102961	0.0096269	0.0099442	0.0117637	0.0117803	0.0104663	0.0100035	0.008719	0.0078563	0.0088517	
Charadrius/Thinornis sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.67E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wilson's Plover	0.0068796	0.0080396	0.0083827	0.0074495	0.0086119	0.0073215	0.0059984	0.0083241	0.0085959	0.0096328	0.011473	0.0106168	0.0111222	0.0140964	0.0149876	0.0134747	0.0135597	0.0144611	0.016671	0.0143686	0.0159499	0.0174942	0.0162481	0.0161381	0.0166509	0.0175445	0.0195301	0.0166325	0.0192079	0.0175727	0.0169765	0.0168897	0.0180647	0.0128928	0.01164	0.0090774	0.0096158	0.0090602	0.0092302	0.008247	0.0080094	0.0096409	0.009806	0.0088767	0.0079331	0.0076663	0.0064462	0.007181	
Mountain Plover	2.26E-5	0.0	0.0	0.0	1.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snowy Plover	0.0044169	0.004906	0.0052595	0.0049963	0.0051179	0.0041506	0.0032337	0.0048307	0.0044074	0.0042272	0.0046172	0.0049627	0.004905	0.0055126	0.0058237	0.0054442	0.0056484	0.0052075	0.0071074	0.0065439	0.006469	0.0074674	0.0082171	0.0084154	0.0079407	0.0088994	0.0108664	0.0104145	0.0108108	0.0105162	0.0093765	0.009763	0.0114856	0.0088746	0.0091967	0.0062717	0.0058804	0.0046217	0.005649	0.0064125	0.0052871	0.0062135	0.0059878	0.0058863	0.0046123	0.0053823	0.0037939	0.0048565	
small plover sp.	5.65E-5	4.25E-5	1.082E-4	5.01E-5	5.8E-5	6.44E-5	1.597E-4	9.55E-5	1.46E-5	1.031E-4	4.66E-5	6.69E-5	7.81E-5	1.382E-4	1.162E-4	8.27E-5	3.56E-5	1.355E-4	1.045E-4	1.001E-4	5.24E-5	3.01E-5	6.2E-5	2.57E-5	7.0E-5	7.26E-5	1.836E-4	1.279E-4	3.4E-5	1.028E-4	1.974E-4	8.94E-5	8.36E-5	1.445E-4	1.098E-4	6.19E-5	9.64E-5	1.222E-4	8.53E-5	6.49E-5	6.75E-5	6.63E-5	1.953E-4	1.416E-4	6.15E-5	7.94E-5	6.71E-5	9.34E-5	
plover sp.	9.04E-5	7.09E-5	8.11E-5	4.01E-5	4.35E-5	6.44E-5	6.99E-5	5.46E-5	7.3E-5	7.36E-5	7.77E-5	5.58E-5	9.37E-5	7.68E-5	7.26E-5	4.72E-5	5.35E-5	5.81E-5	2.61E-5	2.0E-5	0.0	6.02E-5	3.1E-5	2.57E-5	3.5E-5	7.26E-5	7.34E-5	7.68E-5	1.02E-4	6.85E-5	3.29E-5	0.0	1.115E-4	2.89E-5	5.49E-5	4.13E-5	4.82E-5	8.14E-5	4.26E-5	4.87E-5	9.0E-5	1.106E-4	1.736E-4	1.731E-4	6.15E-5	3.97E-5	1.68E-5	6.23E-5	
Upland Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11E-5	3.35E-5	7.029E-4	0.0014127	0.0017863	0.0010511	0.0010869	1.936E-4	1.829E-4	8.0E-5	0.0	0.0	0.0	0.0	0.0	5.812E-4	6.241E-4	8.956E-4	0.0026177	0.0042818	0.004606	0.0037086	0.0020351	7.227E-4	1.098E-4	4.13E-5	1.446E-4	2.04E-5	2.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hudsonian Whimbrel	0.00183	0.0010351	0.0011492	0.0012216	0.0011454	9.539E-4	8.883E-4	0.0012418	9.924E-4	0.0010163	0.0012592	0.0017286	0.0037178	0.0075703	0.0095125	0.0094122	0.0082321	0.0069885	0.0060099	0.0038623	0.0020428	0.0016561	0.0016124	0.0023604	0.0020639	0.0025427	0.0028634	0.0045292	0.0061193	0.005515	0.0053627	0.0053842	0.0059379	0.0048565	0.0044199	0.0030946	0.0026751	0.0018731	0.0024728	0.0016721	0.0013274	0.0018132	0.0019959	0.0012591	0.0011274	0.0012314	0.0010576	0.0013698	
Eurasian Whimbrel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.49E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-billed Curlew	2.146E-4	9.93E-5	1.082E-4	1.101E-4	2.61E-4	9.02E-5	1.098E-4	1.365E-4	7.3E-5	1.326E-4	1.555E-4	1.45E-4	6.25E-5	1.536E-4	7.26E-5	1.18E-5	1.78E-5	0.0	7.84E-5	2.0E-5	0.0	6.02E-5	6.2E-5	7.7E-5	1.749E-4	1.09E-4	2.937E-4	7.68E-5	2.04E-4	1.37E-4	1.974E-4	2.011E-4	2.509E-4	1.445E-4	1.373E-4	1.238E-4	0.0012773	2.443E-4	3.198E-4	3.085E-4	1.125E-4	1.99E-4	3.688E-4	2.046E-4	1.845E-4	1.192E-4	1.343E-4	2.075E-4	
curlew sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-tailed Godwit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	0.0	0.0	3.92E-4	0.001205	7.94E-4	0.0014709	7.143E-4	1.8E-4	0.0	2.17E-5	0.0	0.0	0.0	0.0	0.0	
Hudsonian Godwit	0.0	0.0	1.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45E-5	0.0	0.0	0.0	8.0E-5	0.0	0.0	1.55E-4	0.0	2.449E-4	6.902E-4	7.709E-4	4.862E-4	0.0	0.0	1.974E-4	1.787E-4	0.0	2.891E-4	1.922E-4	3.92E-4	0.0014942	1.425E-4	7.887E-4	3.247E-4	1.575E-4	0.0	0.0	4.72E-5	2.46E-4	1.99E-5	0.0	0.0	
Marbled Godwit	0.0100878	0.0095	0.008261	0.007109	0.0087279	0.0064192	0.0048107	0.0070414	0.0070343	0.0079242	0.0074777	0.0096577	0.0106067	0.0115013	0.0105436	0.0060583	0.00392	0.0036007	0.0039456	0.0037623	0.0034571	0.0050285	0.0032248	0.0057984	0.0084304	0.0115147	0.0136197	0.0136643	0.0147884	0.0152091	0.0160224	0.0157727	0.0187338	0.0144249	0.0137814	0.0105009	0.0131826	0.0110758	0.0130247	0.0118186	0.0100117	0.0116531	0.0098277	0.0093646	0.0083841	0.0085005	0.007957	0.0076998	
godwit sp.	1.13E-5	0.0	0.0	0.0015	1.45E-5	2.58E-5	0.0	1.36E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06E-5	0.0	2.04E-5	0.0	0.0	0.0015	0.0	4.34E-5	0.0	0.0	1.99E-5	0.0	2.08E-5	
Short-billed Dowitcher	0.0207969	0.0204464	0.0199562	0.0186237	0.0192391	0.0165507	0.011867	0.015461	0.0155573	0.0173066	0.0188107	0.0225161	0.0245876	0.0284538	0.0323569	0.030516	0.0253198	0.0189523	0.0142932	0.0103462	0.010188	0.0118033	0.008186	0.0074405	0.0100395	0.0159099	0.0248532	0.0271238	0.0301887	0.0294591	0.0326369	0.0397891	0.0401996	0.0297459	0.0262999	0.0207749	0.0205331	0.020645	0.0204003	0.0211046	0.019011	0.023262	0.0210656	0.0197208	0.018572	0.0183317	0.0168541	0.018658	
