









Frequency of observations in the selected location(s).:
Number of taxa: 	955

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Snow/Ross's Goose	0.0	0.0	0.0	2.0E-5	0.0	0.0	0.0	1.36E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25E-5	0.0	2.17E-5	3.15E-5	0.0	1.99E-5	1.68E-5	1.04E-5	
Graylag Goose	0.0019091	0.0017157	0.0016495	0.0014719	0.0015368	0.0018046	0.0013574	0.0013373	9.924E-4	0.0011194	0.0011815	9.368E-4	0.0011247	7.371E-4	7.407E-4	7.322E-4	6.236E-4	0.0010841	6.271E-4	8.805E-4	0.0012833	0.0012345	0.0012093	0.0011289	0.0010494	9.444E-4	9.545E-4	9.724E-4	6.799E-4	7.879E-4	7.567E-4	6.255E-4	8.085E-4	8.961E-4	6.863E-4	5.57E-4	9.881E-4	7.33E-4	9.166E-4	7.955E-4	0.0011699	0.0014373	0.00128	0.0010702	0.0013734	0.0013704	0.0016619	0.0015981	
Swan Goose	0.0018978	0.0016873	0.0013115	0.0011314	0.0012903	0.0012117	9.981E-4	0.0010098	0.0010216	9.574E-4	7.307E-4	8.253E-4	7.342E-4	5.682E-4	4.357E-4	4.251E-4	5.524E-4	8.518E-4	6.271E-4	0.0011807	0.0015714	0.0013851	0.0012403	0.0012059	7.346E-4	6.538E-4	9.545E-4	7.677E-4	5.779E-4	7.194E-4	4.935E-4	8.49E-4	6.412E-4	7.227E-4	4.942E-4	5.364E-4	6.025E-4	7.94E-4	7.461E-4	6.818E-4	9.224E-4	0.00157	0.001063	0.0011017	0.0012094	0.0013307	0.001259	0.001183	
Graylag x Swan Goose (hybrid)	1.243E-4	1.702E-4	2.028E-4	1.001E-4	1.16E-4	1.805E-4	6.99E-5	1.228E-4	1.168E-4	5.89E-5	1.399E-4	1.338E-4	1.562E-4	3.07E-5	4.36E-5	7.09E-5	8.91E-5	7.74E-5	5.23E-5	1.401E-4	1.571E-4	1.807E-4	2.171E-4	1.026E-4	1.049E-4	7.26E-5	1.468E-4	1.279E-4	6.8E-5	6.85E-5	1.316E-4	1.117E-4	5.58E-5	2.89E-5	2.75E-5	4.13E-5	9.64E-5	6.11E-5	4.26E-5	8.12E-5	9.0E-5	8.84E-5	8.68E-5	1.731E-4	2.255E-4	7.94E-5	8.39E-5	1.453E-4	
Greater White-fronted Goose	9.15E-4	8.649E-4	4.867E-4	3.304E-4	2.175E-4	1.676E-4	1.996E-4	1.092E-4	2.919E-4	1.473E-4	2.332E-4	6.69E-5	3.124E-4	1.536E-4	7.26E-5	1.653E-4	1.247E-4	5.81E-5	5.23E-5	8.0E-5	5.24E-5	9.03E-5	6.2E-5	2.57E-5	3.5E-5	0.0	0.0	0.0015	0.0	0.0	3.29E-5	0.0	0.0	0.0	2.75E-5	4.13E-5	2.41E-5	2.04E-5	2.132E-4	6.169E-4	5.85E-4	7.96E-4	8.461E-4	6.296E-4	5.33E-4	9.533E-4	7.218E-4	0.001017	
Domestic goose sp. (Domestic type)	0.0011184	0.0010493	7.031E-4	0.0010914	0.0010439	0.0011085	9.581E-4	7.232E-4	9.486E-4	0.0011047	0.0011038	9.925E-4	8.279E-4	7.985E-4	7.116E-4	9.211E-4	8.731E-4	9.486E-4	8.1E-4	6.604E-4	9.429E-4	9.635E-4	8.372E-4	5.644E-4	5.597E-4	6.538E-4	8.443E-4	6.653E-4	0.0012579	6.166E-4	7.567E-4	8.266E-4	8.921E-4	8.961E-4	0.0012903	0.0013822	0.0010845	9.773E-4	7.461E-4	9.091E-4	0.0012599	9.287E-4	8.461E-4	8.971E-4	0.0010249	8.54E-4	9.401E-4	0.0010481	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	6.213E-4	4.963E-4	4.597E-4	0.0	2.32E-4	1.289E-4	8.98E-5	4.09E-5	5.84E-5	5.89E-5	4.66E-5	0.0	0.0015	6.14E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5E-5	2.653E-4	0.0	1.102E-4	1.025E-4	0.0	7.554E-4	5.915E-4	
Canada Goose	0.0241406	0.0231546	0.0209837	0.022819	0.0233566	0.0253674	0.0288241	0.0261323	0.0263131	0.0247595	0.0259308	0.0256164	0.0259466	0.0233404	0.022888	0.0224736	0.0238231	0.0242373	0.0218187	0.0179107	0.0193285	0.0161392	0.0134574	0.0137007	0.0134677	0.015692	0.015859	0.0168373	0.0158763	0.0142842	0.0148051	0.0164652	0.0158903	0.0166797	0.0158678	0.0164425	0.0178339	0.0172449	0.0173946	0.017598	0.019056	0.019127	0.0193735	0.0215308	0.0225283	0.0212711	0.0194393	0.0223938	
Swan x Canada Goose (hybrid)	4.52E-5	1.42E-5	0.0	2.0E-5	1.45E-5	0.0	2.0E-5	2.73E-5	1.46E-5	0.0015	1.55E-5	0.0	3.12E-5	0.0	2.9E-5	0.0	3.56E-5	1.94E-5	5.23E-5	0.0	2.62E-5	3.01E-5	3.1E-5	0.0	0.0	3.63E-5	0.0	2.56E-5	3.4E-5	0.0	0.0	2.23E-5	5.58E-5	0.0	2.75E-5	6.19E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.17E-5	3.15E-5	6.15E-5	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	1.13E-5	2.84E-5	1.35E-5	2.0E-5	0.0	0.0	0.0	4.09E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18E-5	0.0	1.94E-5	0.0	2.0E-5	7.86E-5	1.506E-4	0.0	7.7E-5	3.5E-5	0.0	3.67E-5	2.56E-5	3.4E-5	0.0	0.0	0.0	0.0	2.89E-5	0.0	2.06E-5	0.0	2.04E-5	2.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08E-5	
Domestic goose sp. x Canada Goose (hybrid)	2.26E-5	0.0	4.06E-5	4.01E-5	1.45E-5	1.29E-5	0.0	0.0	0.0	1.47E-5	0.0	2.23E-5	1.56E-5	3.07E-5	1.45E-5	0.0015	1.78E-5	0.0	0.0	2.0E-5	0.0	0.0	0.0	0.0	3.5E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	8.67E-5	5.49E-5	0.0	0.0015	0.0015	4.26E-5	1.62E-5	0.0	2.21E-5	2.17E-5	4.72E-5	2.05E-5	0.0	0.0	4.15E-5	
